Sp_sending		Sending_position		Sp_receiving		Receiving_position
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		3288
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		77269
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		137365
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		227561
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		386917
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		444902
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		463114
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		463116
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		544040
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		585890
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		635507
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		715296
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		843987
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		890913
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		951966
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		991503
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1029621
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1054389
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1097776
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1104136
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1179804
Acidobacterium capsulatum ATCC 51196		1661213		Acholeplasma laidlawii PG-8A		1201259
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1211335
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1304925
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1368525
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1393592
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1412783
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1424778
Acidobacterium capsulatum ATCC 51196		1661211		Acholeplasma laidlawii PG-8A		1469879
